Number of Variables;32;
Variables:;
0;;this;
1;;g2;
2;;section;
3;;selected;
4;;state;
5;;currentPass;
6;;this.dataset;
7;;CLOCKWISE;
8;;this.direction;
9;;ANTICLOCKWISE;
10;;this.shadowPaint;
11;;this.shadowXOffset;
12;;this.shadowYOffset;
13;;this.sectionOutlinesVisible;
14;;this.toolTipGenerator;
15;;this.urlGenerator;
16;;this.pieIndex;
17;;n;
18;;value;
19;;angle1;
20;;angle2;
21;;angle;
22;;ep;
23;;mep;
24;;arc;
25;;key;
26;;savedClip;
27;;outlinePaint;
28;;outlineStroke;
29;;entities;
30;;tip;
31;;url;

Number of Block duas;105;
Line Duas for method; drawItem;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2652;2660;2661;0;this;
2;2652;2660;2664;0;this;
3;2652;2664;2665;0;this;
4;2652;2664;2669;0;this;
5;2652;2673;2674;0;this;
6;2652;2673;2734;0;this;
7;2652;;2675;0;this;
8;2652;;2679;0;this;
9;2652;;2694;0;this;
10;2652;;2695;0;this;
11;2652;;2701;0;this;
12;2652;;2702;0;this;
13;2652;2704;2705;0;this;
14;2652;2704;2709;0;this;
15;2652;2717;2718;0;this;
16;2652;2717;2721;0;this;
17;2652;2722;2723;0;this;
18;2652;2722;2726;0;this;
19;2652;;2726;0;this;
20;2652;;2723;0;this;
21;2652;;2718;0;this;
22;2652;2685;2686;0;this;
23;2652;2685;2734;0;this;
24;2652;;2686;0;this;
25;2652;;2689;0;this;
26;2652;;2677;0;this;
27;2652;;2696;1;g2;
28;2652;;2697;1;g2;
29;2652;;2698;1;g2;
30;2652;;2699;1;g2;
31;2652;;2709;1;g2;
32;2652;;2705;1;g2;
33;2652;;2706;1;g2;
34;2652;;2707;1;g2;
35;2652;;2689;1;g2;
36;2652;;2690;1;g2;
37;2652;;2694;2;section;
38;2652;;2726;2;section;
39;2652;;2677;2;section;
40;2652;;2695;3;selected;
41;2652;;2701;3;selected;
42;2652;;2702;3;selected;
43;2652;;2665;5;state;
44;2652;;2666;5;state;
45;2652;;2734;5;state;
46;2652;;2679;5;state;
47;2652;2713;2714;5;state;
48;2652;2713;2734;5;state;
49;2652;;2714;5;state;
50;2652;;2661;5;state;
51;2652;;2662;5;state;
52;2652;2684;2685;6;currentPass;
53;2652;2684;2693;6;currentPass;
54;2652;2693;2694;6;currentPass;
55;2652;2693;2734;6;currentPass;
56;2652;;2726;8;this.dataset;
57;2652;;2723;8;this.dataset;
58;2652;;2718;8;this.dataset;
59;2652;2660;2661;12;CLOCKWISE;
60;2652;2660;2664;12;CLOCKWISE;
61;2652;2660;2661;13;this.direction;
62;2652;2660;2664;13;this.direction;
63;2652;2664;2665;13;this.direction;
64;2652;2664;2669;13;this.direction;
65;2652;2664;2665;14;ANTICLOCKWISE;
66;2652;2664;2669;14;ANTICLOCKWISE;
67;2652;2685;2686;20;this.shadowPaint;
68;2652;2685;2734;20;this.shadowPaint;
69;2652;;2689;20;this.shadowPaint;
70;2652;;2686;22;this.shadowXOffset;
71;2652;;2686;23;this.shadowYOffset;
72;2652;2704;2705;28;this.sectionOutlinesVisible;
73;2652;2704;2709;28;this.sectionOutlinesVisible;
74;2652;2717;2718;31;this.toolTipGenerator;
75;2652;2717;2721;31;this.toolTipGenerator;
76;2652;;2718;31;this.toolTipGenerator;
77;2652;2722;2723;33;this.urlGenerator;
78;2652;2722;2726;33;this.urlGenerator;
79;2652;;2723;33;this.urlGenerator;
80;2652;;2726;34;this.pieIndex;
81;2652;;2723;34;this.pieIndex;
82;2652;2653;2654;7;n;
83;2652;2653;2656;7;n;
84;2652;;2656;7;n;
85;2656;;2666;9;value;
86;2656;;2662;9;value;
87;2661;;2672;10;angle1;
88;2661;;2679;10;angle1;
89;2661;;2681;10;angle1;
90;2662;;2672;11;angle2;
91;2662;;2734;11;angle2;
92;2665;;2672;10;angle1;
93;2665;;2679;10;angle1;
94;2665;;2681;10;angle1;
95;2666;;2672;11;angle2;
96;2666;;2734;11;angle2;
97;2672;2673;2674;15;angle;
98;2672;2673;2734;15;angle;
99;2672;;2679;15;angle;
100;2672;;2681;15;angle;
101;2674;;2679;16;ep;
102;2675;2676;2677;17;mep;
103;2675;2676;2679;17;mep;
104;2675;;2677;17;mep;
105;2677;;2679;16;ep;
106;2681;;2697;19;arc;
107;2681;;2699;19;arc;
108;2681;;2726;19;arc;
109;2681;;2707;19;arc;
110;2681;;2686;19;arc;
111;2694;;2726;21;key;
112;2694;;2723;21;key;
113;2694;;2718;21;key;
114;2696;;2709;25;savedClip;
115;2701;;2705;26;outlinePaint;
116;2702;;2706;27;outlineStroke;
117;2714;2715;2716;29;entities;
118;2714;2715;2734;29;entities;
119;2714;;2729;29;entities;
120;2716;;2726;30;tip;
121;2718;;2726;30;tip;
122;2721;;2726;32;url;
123;2723;;2726;32;url;

Block Duas for method; drawItem;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;22;0;this;
;2652;2660;2661;0;this;
2;0;1;2;0;this;
;2652;2660;2664;0;this;
3;0;2;4;0;this;
;2652;2664;2665;0;this;
4;0;2;3;0;this;
;2652;2664;2669;0;this;
5;0;5;7;0;this;
;2652;2673;2674;0;this;
6;0;5;6;0;this;
;2652;2673;2734;0;this;
7;0;;7;0;this;
;2652;;2675;0;this;
8;0;;8;0;this;
;2652;;2679;0;this;
9;0;;10;0;this;
;2652;;2694;0;this;
;2652;;2695;0;this;
;2652;;2701;0;this;
;2652;;2702;0;this;
10;0;10;18;0;this;
;2652;2704;2705;0;this;
11;0;10;11;0;this;
;2652;2704;2709;0;this;
12;0;13;17;0;this;
;2652;2717;2718;0;this;
13;0;13;14;0;this;
;2652;2717;2721;0;this;
14;0;14;16;0;this;
;2652;2722;2723;0;this;
15;0;14;15;0;this;
;2652;2722;2726;0;this;
16;0;;15;0;this;
;2652;;2726;0;this;
17;0;;16;0;this;
;2652;;2723;0;this;
18;0;;17;0;this;
;2652;;2718;0;this;
19;0;19;20;0;this;
;2652;2685;2686;0;this;
20;0;19;6;0;this;
;2652;2685;2734;0;this;
21;0;;20;0;this;
;2652;;2686;0;this;
;2652;;2689;0;this;
22;0;;21;0;this;
;2652;;2677;0;this;
23;0;;10;1;g2;
;2652;;2696;1;g2;
;2652;;2697;1;g2;
;2652;;2698;1;g2;
;2652;;2699;1;g2;
24;0;;11;1;g2;
;2652;;2709;1;g2;
25;0;;18;1;g2;
;2652;;2705;1;g2;
;2652;;2706;1;g2;
;2652;;2707;1;g2;
26;0;;20;1;g2;
;2652;;2689;1;g2;
;2652;;2690;1;g2;
27;0;;10;2;section;
;2652;;2694;2;section;
28;0;;15;2;section;
;2652;;2726;2;section;
29;0;;21;2;section;
;2652;;2677;2;section;
30;0;;10;3;selected;
;2652;;2695;3;selected;
;2652;;2701;3;selected;
;2652;;2702;3;selected;
31;0;;4;4;state;
;2652;;2665;5;state;
;2652;;2666;5;state;
32;0;;6;4;state;
;2652;;2734;5;state;
33;0;;8;4;state;
;2652;;2679;5;state;
34;0;11;12;4;state;
;2652;2713;2714;5;state;
35;0;11;6;4;state;
;2652;2713;2734;5;state;
36;0;;12;4;state;
;2652;;2714;5;state;
37;0;;22;4;state;
;2652;;2661;5;state;
;2652;;2662;5;state;
38;0;8;19;5;currentPass;
;2652;2684;2685;6;currentPass;
39;0;8;9;5;currentPass;
;2652;2684;2693;6;currentPass;
40;0;9;10;5;currentPass;
;2652;2693;2694;6;currentPass;
41;0;9;6;5;currentPass;
;2652;2693;2734;6;currentPass;
42;0;;15;6;this.dataset;
;2652;;2726;8;this.dataset;
43;0;;16;6;this.dataset;
;2652;;2723;8;this.dataset;
44;0;;17;6;this.dataset;
;2652;;2718;8;this.dataset;
45;0;1;22;7;CLOCKWISE;
;2652;2660;2661;12;CLOCKWISE;
46;0;1;2;7;CLOCKWISE;
;2652;2660;2664;12;CLOCKWISE;
47;0;1;22;8;this.direction;
;2652;2660;2661;13;this.direction;
48;0;1;2;8;this.direction;
;2652;2660;2664;13;this.direction;
49;0;2;4;8;this.direction;
;2652;2664;2665;13;this.direction;
50;0;2;3;8;this.direction;
;2652;2664;2669;13;this.direction;
51;0;2;4;9;ANTICLOCKWISE;
;2652;2664;2665;14;ANTICLOCKWISE;
52;0;2;3;9;ANTICLOCKWISE;
;2652;2664;2669;14;ANTICLOCKWISE;
53;0;19;20;10;this.shadowPaint;
;2652;2685;2686;20;this.shadowPaint;
54;0;19;6;10;this.shadowPaint;
;2652;2685;2734;20;this.shadowPaint;
55;0;;20;10;this.shadowPaint;
;2652;;2689;20;this.shadowPaint;
56;0;;20;11;this.shadowXOffset;
;2652;;2686;22;this.shadowXOffset;
57;0;;20;12;this.shadowYOffset;
;2652;;2686;23;this.shadowYOffset;
58;0;10;18;13;this.sectionOutlinesVisible;
;2652;2704;2705;28;this.sectionOutlinesVisible;
59;0;10;11;13;this.sectionOutlinesVisible;
;2652;2704;2709;28;this.sectionOutlinesVisible;
60;0;13;17;14;this.toolTipGenerator;
;2652;2717;2718;31;this.toolTipGenerator;
61;0;13;14;14;this.toolTipGenerator;
;2652;2717;2721;31;this.toolTipGenerator;
62;0;;17;14;this.toolTipGenerator;
;2652;;2718;31;this.toolTipGenerator;
63;0;14;16;15;this.urlGenerator;
;2652;2722;2723;33;this.urlGenerator;
64;0;14;15;15;this.urlGenerator;
;2652;2722;2726;33;this.urlGenerator;
65;0;;16;15;this.urlGenerator;
;2652;;2723;33;this.urlGenerator;
66;0;;15;16;this.pieIndex;
;2652;;2726;34;this.pieIndex;
67;0;;16;16;this.pieIndex;
;2652;;2723;34;this.pieIndex;
68;0;0;23;17;n;
;2652;2653;2654;7;n;
69;0;0;1;17;n;
;2652;2653;2656;7;n;
70;0;;1;17;n;
;2652;;2656;7;n;
71;1;;4;18;value;
;2656;;2666;9;value;
72;1;;22;18;value;
;2656;;2662;9;value;
73;22;;5;19;angle1;
;2661;;2672;10;angle1;
74;22;;8;19;angle1;
;2661;;2679;10;angle1;
;2661;;2681;10;angle1;
75;22;;5;20;angle2;
;2662;;2672;11;angle2;
76;22;;6;20;angle2;
;2662;;2734;11;angle2;
77;4;;5;19;angle1;
;2665;;2672;10;angle1;
78;4;;8;19;angle1;
;2665;;2679;10;angle1;
;2665;;2681;10;angle1;
79;4;;5;20;angle2;
;2666;;2672;11;angle2;
80;4;;6;20;angle2;
;2666;;2734;11;angle2;
81;5;5;7;21;angle;
;2672;2673;2674;15;angle;
82;5;5;6;21;angle;
;2672;2673;2734;15;angle;
83;5;;8;21;angle;
;2672;;2679;15;angle;
;2672;;2681;15;angle;
84;7;;8;22;ep;
;2674;;2679;16;ep;
85;7;7;21;23;mep;
;2675;2676;2677;17;mep;
86;7;7;8;23;mep;
;2675;2676;2679;17;mep;
87;7;;21;23;mep;
;2675;;2677;17;mep;
88;21;;8;22;ep;
;2677;;2679;16;ep;
89;8;;10;24;arc;
;2681;;2697;19;arc;
;2681;;2699;19;arc;
90;8;;15;24;arc;
;2681;;2726;19;arc;
91;8;;18;24;arc;
;2681;;2707;19;arc;
92;8;;20;24;arc;
;2681;;2686;19;arc;
93;10;;15;25;key;
;2694;;2726;21;key;
94;10;;16;25;key;
;2694;;2723;21;key;
95;10;;17;25;key;
;2694;;2718;21;key;
96;10;;11;26;savedClip;
;2696;;2709;25;savedClip;
97;10;;18;27;outlinePaint;
;2701;;2705;26;outlinePaint;
98;10;;18;28;outlineStroke;
;2702;;2706;27;outlineStroke;
99;12;12;13;29;entities;
;2714;2715;2716;29;entities;
100;12;12;6;29;entities;
;2714;2715;2734;29;entities;
101;12;;15;29;entities;
;2714;;2729;29;entities;
102;13;;15;30;tip;
;2716;;2726;30;tip;
103;17;;15;30;tip;
;2718;;2726;30;tip;
104;14;;15;31;url;
;2721;;2726;32;url;
105;16;;15;31;url;
;2723;;2726;32;url;
